Pressure,Temperature,k1,Density,Cl,CH3OH,O2,Ar
0.104342105263158,240,1993613000000,3.19130129713435E+018,9.40E-04,0.000313351798183,0.047002769727413,0.951743823079856
0.197368421052632,240,2114073000000,6.03650938928314E+018,4.97E-04,0.000165658650639,0.024848797595892,0.974488567801551
0.328947368421053,240,2234533000000,1.00608489821386E+019,2.98E-04,9.93951903835692E-05,0.014909278557535,0.98469314068093
0.526315789473684,240,2577844000000,1.60973583714217E+019,1.86E-04,6.21219939897307E-05,0.00931829909846,0.990433212925582
0.731052631578947,240,2740465000000,2.23592307779047E+019,1.34E-04,4.47242577319876E-05,0.006708638659798,0.993112464309274
0.118947368421053,268,1300968000000,3.25791312711161E+018,9.21E-04,0.000306944955554,0.046041743333097,0.952730476844687
0.394736842105263,268,1487681000000,1.08116586076713E+019,2.77E-04,9.24927466069324E-05,0.01387391199104,0.985756117022532
0.657894736842105,268,1710532000000,1.80194310127855E+019,1.66E-04,5.54956479641594E-05,0.008324347194624,0.991453670213519
0.345921052631579,268,1903268000000,9.4746168265226E+018,3.17E-04,0.000105545165394,0.015831774809098,0.983746044529326
0.921052631578947,268,1963498000000,2.52272034178997E+019,1.19E-04,3.96397485458282E-05,0.005945962281874,0.993895478723942
0.131578947368421,298,1084140000000,3.2410788667292E+018,9.26E-04,0.000308539236816,0.046280885522349,0.952484957530388
0.263157894736842,298,1150393000000,6.4821577334584E+018,4.63E-04,0.000154269618408,0.023140442761175,0.976242478765194
0.460526315789474,298,1264830000000,1.13437760335522E+019,2.64E-04,8.81540676616179E-05,0.013223110149243,0.986424273580111
0.657894736842105,298,1306991000000,1.6205394333646E+019,1.85E-04,6.17078473631325E-05,0.00925617710447,0.990496991506078
0.921052631578947,298,1517796000000,2.26875520671044E+019,1.32E-04,4.40770338308089E-05,0.006611555074621,0.993212136790055
0.146710526315789,333,819128000000,3.23397379894328E+018,9.28E-04,0.000309217100128,0.046382565019238,0.952380566580249
0.394736842105263,333,903450000000,8.70127479536308E+018,3.45E-04,0.000114925688881,0.01723885333215,0.982301443912326
0.526315789473684,333,957657000000,1.16016997271508E+019,2.59E-04,8.61942666607514E-05,0.012929139999113,0.986726082934244
