time,Absorbance_227,Relative_Uncertainty,W,W2
4.45E-15,0.0683292,0.1,0.014245072,0.013658959
4.45E-11,0.0683292,0.1,0.014245072,0.013658959
2.07E-10,0.0683292,0.1,0.014245072,0.013658959
3.69E-10,0.0683292,0.1,0.014245072,0.013658959
5.32E-10,0.0683292,0.1,0.014245072,0.013658959
7.81E-10,0.0683292,0.1,0.014245072,0.013658959
1.19E-09,0.0683292,0.1,0.014245072,0.013658959
1.89E-09,0.0683291,0.1,0.014245072,0.013658959
3.11E-09,0.0683291,0.1,0.014245072,0.013658959
5.29E-09,0.0683289,0.1,0.014245072,0.013658959
1.07E-08,0.0683286,0.1,0.014245072,0.013658959
1.61E-08,0.0683284,0.1,0.014245072,0.013658959
2.15E-08,0.0683281,0.1,0.014245072,0.013658959
2.69E-08,0.0683278,0.1,0.014245072,0.013658959
3.23E-08,0.0683275,0.1,0.014245072,0.013658959
3.86E-08,0.0683272,0.1,0.014245072,0.013658959
4.50E-08,0.0683269,0.1,0.014245072,0.013658959
5.13E-08,0.0683266,0.1,0.014245072,0.013658959
6.10E-08,0.0683261,0.1,0.014245072,0.013658959
7.07E-08,0.0683256,0.1,0.014245072,0.013658959
8.04E-08,0.0683252,0.1,0.014245072,0.013658959
9.58E-08,0.0683245,0.1,0.014245072,0.013658959
1.20E-07,0.0683235,0.1,0.014245072,0.013658959
1.44E-07,0.0683225,0.1,0.014245072,0.013658959
1.68E-07,0.0683217,0.1,0.014245072,0.013658959
2.13E-07,0.0683202,0.1,0.014245072,0.013658959
2.59E-07,0.0683189,0.1,0.014245072,0.013658959
3.05E-07,0.0683179,0.1,0.014245072,0.013658959
3.51E-07,0.0683171,0.1,0.014245072,0.013658959
3.97E-07,0.0683166,0.1,0.014245072,0.013658959
4.66E-07,0.0683163,0.1,0.014245072,0.013658959
5.35E-07,0.0683164,0.1,0.014245072,0.013658959
6.05E-07,0.0683171,0.1,0.014245072,0.013658959
6.74E-07,0.0683184,0.1,0.014245072,0.013658959
7.43E-07,0.0683201,0.1,0.014245072,0.013658959
8.52E-07,0.0683239,0.1,0.014245072,0.013658959
1.02E-06,0.0683323,0.1,0.014245072,0.013658959
1.13E-06,0.0683391,0.1,0.014245072,0.013658959
1.24E-06,0.0683471,0.1,0.014245072,0.013658959
1.34E-06,0.0683562,0.1,0.014245072,0.013658959
1.45E-06,0.0683663,0.1,0.014245072,0.013658959
1.56E-06,0.0683776,0.1,0.014245072,0.013658959
1.66E-06,0.06839,0.1,0.014245072,0.013658959
1.77E-06,0.0684034,0.1,0.014245072,0.013658959
1.97E-06,0.0684308,0.1,0.014245072,0.013658959
2.17E-06,0.0684616,0.1,0.014245072,0.013658959
2.36E-06,0.0684957,0.1,0.014245072,0.013658959
2.56E-06,0.0685331,0.1,0.014245072,0.013658959
2.76E-06,0.0685735,0.1,0.014245072,0.013658959
2.95E-06,0.0686169,0.1,0.014245072,0.013658959
3.15E-06,0.0686632,0.1,0.014245072,0.013658959
3.45E-06,0.0687387,0.1,0.014245072,0.013658959
3.75E-06,0.0688203,0.1,0.014245072,0.013658959
4.05E-06,0.0689077,0.1,0.014245072,0.013658959
4.34E-06,0.0690007,0.1,0.014245072,0.013658959
4.64E-06,0.0690989,0.1,0.014245072,0.013658959
4.94E-06,0.0692022,0.1,0.014245072,0.013658959
5.24E-06,0.0693102,0.1,0.014245072,0.013658959
5.54E-06,0.0694227,0.1,0.014245072,0.013658959
5.83E-06,0.0695394,0.1,0.014245072,0.013658959
6.13E-06,0.0696602,0.1,0.014245072,0.013658959
6.43E-06,0.0697848,0.1,0.014245072,0.013658959
6.73E-06,0.069913,0.1,0.014245072,0.013658959
7.03E-06,0.0700446,0.1,0.014245072,0.013658959
7.33E-06,0.0701795,0.1,0.014245072,0.013658959
7.62E-06,0.0703173,0.1,0.014245072,0.013658959
7.92E-06,0.0704581,0.1,0.014245072,0.013658959
8.22E-06,0.0706015,0.1,0.014245072,0.013658959
8.52E-06,0.0707475,0.1,0.014245072,0.013658959
8.82E-06,0.0708958,0.1,0.014245072,0.013658959
9.11E-06,0.0710464,0.1,0.014245072,0.013658959
9.41E-06,0.071199,0.1,0.014245072,0.013658959
9.71E-06,0.0713536,0.1,0.014245072,0.013658959
1.00E-05,0.07151,0.1,0.014245072,0.013658959
1.03E-05,0.0716682,0.1,0.014245072,0.013658959
1.06E-05,0.0718279,0.1,0.014245072,0.013658959
1.09E-05,0.071989,0.1,0.014245072,0.013658959
1.12E-05,0.0721516,0.1,0.014245072,0.013658959
1.15E-05,0.0723153,0.1,0.014245072,0.013658959
1.18E-05,0.0724803,0.1,0.014245072,0.013658959
1.21E-05,0.0726463,0.1,0.014245072,0.013658959
1.24E-05,0.0728132,0.1,0.014245072,0.013658959
