Time,H2O2_ppm,Relative_Uncertainty,W
5.72361998472828E-06,774.996974646962,0.05,0.156173761888606
2.60957480741164E-05,609.263843648208,0.05,0.156173761888606
4.24036574875071E-05,624.387515827526,0.05,0.156173761888606
6.74168511197673E-05,589.296977546661,0.05,0.156173761888606
8.85266627359631E-05,604.435728162847,0.05,0.156173761888606
0.000105986719377,463.814225925246,0.05,0.156173761888606
0.000125215979277,446.29006659643,0.05,0.156173761888606
0.000143495684281,419.970655042094,0.05,0.156173761888606
0.000163765742951,337.135754260142,0.05,0.156173761888606
0.000183956929798,318.358576827536,0.05,0.156173761888606
0.000206079703071,290.795194231531,0.05,0.156173761888606
0.000225373916237,220.517615673842,0.05,0.156173761888606
0.00024263447356,241.924472496351,0.05,0.156173761888606
0.000264780444427,195.520583032892,0.05,0.156173761888606
0.000287837307532,189.312790574044,0.05,0.156173761888606
0.000302290955838,150.420978358577,0.05,0.156173761888606
0.000324371973439,156.770508123991,0.05,0.156173761888606
0.000343632163466,114.125672971902,0.05,0.156173761888606
0.000363801699224,112.932968615587,0.05,0.156173761888606
0.000387868430973,66.5351105268753,0.05,0.156173761888606
0.000406047613064,121.857895398177,0.05,0.156173761888606
0.000423295798336,153.313022549996,0.05,0.156173761888606
0.000446400603137,108.168182565074,0.05,0.156173761888606
0.000464630819938,122.041852327975,0.05,0.156173761888606
0.000483827603205,130.894402613596,0.05,0.156173761888606
0.000508853168888,85.7555940034216,0.05,0.156173761888606
0.00052423936052,69.4754057162742,0.05,0.156173761888606
0.000545403299858,40.6529736417325,0.05,0.156173761888606
0.000566488367373,75.888264916537,0.05,0.156173761888606
0.000584772711896,45.8007519887105,0.05,0.156173761888606
0.000605952116297,4.41798200253231,0.05,0.156173761888606
0.000624142123933,50.9485303356886,0.05,0.156173761888606
0.000647217545114,29.6683323828763,0.05,0.156173761888606
0.000666397316811,52.3372543712968,0.05,0.156173761888606
0.000684591963966,95.099701330962,0.05,0.156173761888606
0.000705776007887,49.948829971293,0.05,0.156173761888606
0.000724007771194,62.5664659430306,0.05,0.156173761888606
0.0007470646343,56.3586734841822,0.05,0.156173761888606
0.000763375636726,68.9702780811723,0.05,0.156173761888606
0.000786488174059,17.5452691404324,0.05,0.156173761888606
0.000808510424419,71.6240829700654,0.05,0.156173761888606
